time,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w
1763027699.018915,0.608060514,0.073746359,0.254848334,0.661997052,0.745565772,0.001058003,0.076749393
1763027699.024683,0.608008044,0.073776676,0.254499140,0.661966537,0.745609999,0.000825920,0.076585852
1763027699.029803,0.607930218,0.073826936,0.253987849,0.661918729,0.745677531,0.000488650,0.076344009
1763027699.035005,0.607862594,0.073876629,0.253553415,0.661874519,0.745738268,0.000205785,0.076134623
1763027699.040704,0.607795403,0.073930575,0.253124774,0.661828409,0.745800555,-0.000070605,0.075925586
1763027699.046055,0.607715685,0.073999460,0.252627216,0.661771859,0.745875716,-0.000388517,0.075678977
1763027699.088624,0.607124731,0.074669213,0.249155984,0.661288048,0.746486068,-0.002480739,0.073827697
1763027699.094006,0.607038886,0.074780944,0.248675086,0.661211343,0.746579409,-0.002760187,0.073560442
1763027699.099494,0.606968699,0.074873774,0.248283562,0.661148199,0.746656060,-0.002985441,0.073340571
1763027699.104903,0.606885564,0.074989592,0.247827524,0.661071318,0.746748745,-0.003242683,0.073078768
1763027699.110425,0.606815641,0.075090707,0.247449310,0.661005453,0.746827781,-0.003451618,0.072856928
1763027699.115886,0.606745418,0.075194723,0.247074751,0.660938857,0.746907592,-0.003654883,0.072632770
1763027699.121519,0.606661121,0.075320248,0.246627013,0.660858843,0.747003317,-0.003896312,0.072363489
1763027699.126777,0.606590065,0.075422512,0.246248850,0.660792682,0.747082531,-0.004102479,0.072138056
1763027699.131874,0.606506981,0.075542735,0.245808462,0.660715221,0.747175038,-0.004341830,0.071875033
1763027699.137533,0.606437835,0.075648081,0.245450039,0.660648562,0.747253835,-0.004532603,0.071656372
1763027699.142696,0.606365739,0.075761631,0.245081522,0.660577433,0.747337282,-0.004726087,0.071428740
1763027699.147949,0.606277468,0.075909864,0.244636745,0.660486166,0.747443318,-0.004953004,0.071147509
1763027699.153658,0.606204247,0.076035032,0.244271460,0.660409695,0.747531831,-0.005136894,0.070913997
1763027699.158736,0.606128418,0.076159026,0.243892814,0.660333189,0.747620702,-0.005330854,0.070674760
1763027699.164115,0.606036982,0.076308726,0.243433049,0.660240454,0.747728169,-0.005566825,0.070385831
1763027699.203866,0.605403402,0.077389590,0.240367170,0.659580088,0.748481452,-0.007094789,0.068405420
1763027699.209486,0.605323628,0.077533799,0.239994082,0.659493782,0.748578548,-0.007272514,0.068155808
1763027699.214645,0.605241822,0.077677088,0.239614440,0.659408118,0.748675406,-0.007453469,0.067900506
1763027699.219731,0.605162753,0.077813464,0.239242996,0.659326382,0.748768091,-0.007631149,0.067652039
1763027699.264586,0.605066875,0.077973066,0.238792616,0.659229407,0.748877883,-0.007851914,0.067356131
1763027699.267927,0.604377942,0.079152686,0.235640281,0.658521486,0.749671042,-0.009350983,0.065233237
1763027699.273633,0.604298390,0.079301683,0.235293181,0.658434303,0.749766946,-0.009505176,0.064987861
1763027699.278903,0.604204773,0.079463069,0.234876220,0.658338972,0.749873221,-0.009696599,0.064698929
1763027699.285669,0.604126787,0.079593539,0.234527308,0.658261248,0.749959946,-0.009859059,0.064459396
1763027699.290948,0.604015934,0.079788254,0.234040885,0.658145638,0.750087261,-0.010082580,0.064122761
1763027699.296841,0.603916746,0.079971212,0.233613522,0.658037956,0.750204802,-0.010273779,0.063821860
1763027699.302498,0.603835000,0.080119306,0.233261178,0.657950664,0.750300229,-0.010431841,0.063574030
1763027699.308678,0.603741313,0.080284626,0.232857061,0.657853536,0.750406981,-0.010613062,0.063288862
1763027699.313948,0.603644564,0.080454067,0.232441959,0.657752975,0.750516772,-0.010802193,0.062999184
1763027699.319543,0.603561276,0.080605650,0.232088650,0.657663242,0.750613868,-0.010961172,0.062751093
1763027699.324883,0.603477372,0.080765191,0.231739685,0.657569980,0.750714302,-0.011112696,0.062499887
1763027699.329998,0.603376508,0.080947615,0.231316042,0.657462748,0.750830472,-0.011300272,0.062198139
1763027699.335699,0.603291026,0.081088048,0.230948485,0.657379022,0.750922322,-0.011469700,0.061943122
