time,iiwa_joint_1,iiwa_joint_2,iiwa_joint_3,iiwa_joint_4,iiwa_joint_5,iiwa_joint_6,iiwa_joint_7
1763027695.724658,0.327773631,0.749566376,-0.280374825,-1.441708446,0.115927242,0.817933738,1.518474936
1763027695.762762,0.327772617,0.749566495,-0.280374408,-1.441708565,0.115927242,0.817933738,1.518474817
1763027695.768745,0.327771187,0.749566615,-0.280374408,-1.441708446,0.115927435,0.817933619,1.518474698
1763027695.774868,0.327769578,0.749566615,-0.280374408,-1.441708565,0.115927145,0.817933619,1.518474698
1763027695.780896,0.327768266,0.749566674,-0.280374527,-1.441708684,0.115927145,0.817933619,1.518474817
1763027695.787744,0.327766985,0.749566734,-0.280374587,-1.441708565,0.115927145,0.817933619,1.518474817
1763027695.793931,0.327765912,0.749566674,-0.280374587,-1.441708565,0.115927145,0.817933500,1.518474698
1763027695.799618,0.327765197,0.749566793,-0.280374706,-1.441708565,0.115927145,0.817933619,1.518474698
1763027695.805750,0.327762187,0.749566734,-0.280374706,-1.441708565,0.115927145,0.817933619,1.518474698
1763027695.818771,0.327757835,0.749566674,-0.280374587,-1.441708565,0.115927242,0.817933738,1.518474698
1763027695.824718,0.327751040,0.749566734,-0.280374825,-1.441708684,0.115927145,0.817933738,1.518474698
1763027695.830606,0.327748656,0.749566615,-0.280374885,-1.441708684,0.115927145,0.817933619,1.518474698
1763027695.836128,0.327747166,0.749566615,-0.280375004,-1.441708565,0.115927145,0.817933738,1.518474698
1763027695.842677,0.327746272,0.749566615,-0.280375004,-1.441708684,0.115927435,0.817933798,1.518474698
1763027695.848775,0.327745467,0.749566615,-0.280374885,-1.441708684,0.115927145,0.817933738,1.518474698
1763027695.854639,0.327744991,0.749566615,-0.280374825,-1.441708684,0.115927145,0.817933798,1.518474698
1763027695.860488,0.327744633,0.749566674,-0.280374885,-1.441708684,0.115927048,0.817933738,1.518474698
1763027695.865972,0.327743977,0.749566674,-0.280374885,-1.441708803,0.115927242,0.817933738,1.518474460
1763027695.871819,0.327743739,0.749566734,-0.280374706,-1.441708922,0.115927048,0.817933738,1.518474698
1763027695.911777,0.327743500,0.749566734,-0.280373991,-1.441709280,0.115927145,0.817933738,1.518474698
1763027695.954752,0.327743381,0.749566734,-0.280374110,-1.441709280,0.115927145,0.817933619,1.518474817
1763027695.960752,0.327743381,0.749566734,-0.280374110,-1.441709161,0.115927145,0.817933917,1.518474698
1763027695.966755,0.327743381,0.749566674,-0.280373991,-1.441709280,0.115927048,0.817933798,1.518474936
